identifiant	pays	pays_lib	syst	syst_lib	camp	camp_deb	camp_fin	sect	sect_lib	station	station_lib	station_site	coup_date	qualite	coup	engin	coup_protocole	engin_lib	id_fraction	nt	pt	codesp	espece	cat_ecol	cat_troph	cat_ecol_lib	cat_troph_lib	famille	ordre
1	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNM	Bandiala	S01	2002-10-21	1	27	t	1	t- senne tournante 250m	15441	117	970	BAU	Brachydeuterus auritus	ME	om-ge	Marine-estuarienne	Omnivore généraliste	Haemulidae	Perciformes
1	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNM	Bandiala	S01	2002-10-21	1	27	t	1	t- senne tournante 250m	15442	18	192	CHL	Chloroscombrus chrysurus	ME	p2-ge	Marine-estuarienne	Prédateur de deuxième niveau généraliste (poisson et autres proies)	Carangidae	Perciformes
1	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNM	Bandiala	S01	2002-10-21	1	27	t	1	t- senne tournante 250m	15443	3	13	IAF	Ilisha africana	Em	p1-zo	Estuarienne d'origine marine	Zooplanctonophagie dominante	Clupeidae	Clupéiformes
1	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNM	Bandiala	S01	2002-10-21	1	27	t	1	t- senne tournante 250m	15440	1	1	SAL	Alectis alexandrinus	Mo	p1-bt	Marine occasionnelle	Prédateur de premier niveau à prédominance benthophage (mollusques,vers)	Carangidae	Perciformes
1	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNM	Bandiala	S01	2002-10-21	1	27	t	1	t- senne tournante 250m	15439	38	610	SEB	Sardinella maderensis	ME	om-ge	Marine-estuarienne	Omnivore généraliste	Clupeidae	Clupéiformes
2	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNB	Bandiala bordure	S01	2002-10-21	1	28	t	1	t- senne tournante 250m	15451	1	4	BAU	Brachydeuterus auritus	ME	om-ge	Marine-estuarienne	Omnivore généraliste	Haemulidae	Perciformes
2	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNB	Bandiala bordure	S01	2002-10-21	1	28	t	1	t- senne tournante 250m	15452	2	33	CHL	Chloroscombrus chrysurus	ME	p2-ge	Marine-estuarienne	Prédateur de deuxième niveau généraliste (poisson et autres proies)	Carangidae	Perciformes
2	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNB	Bandiala bordure	S01	2002-10-21	1	28	t	1	t- senne tournante 250m	15450	10	70	EFI	Ethmalosa fimbriata	Em	he-ph	Estuarienne d'origine marine	Herbivore à prédominance phytoplanctonophage ou microphytophage	Clupeidae	Clupéiformes
2	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNB	Bandiala bordure	S01	2002-10-21	1	28	t	1	t- senne tournante 250m	15446	1	12	FAC	Fodiator acutus	Ma	p2-ge	Marine accessoire	Prédateur de deuxième niveau généraliste (poisson et autres proies)	Exocoetidae	Beloniformes
2	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNB	Bandiala bordure	S01	2002-10-21	1	28	t	1	t- senne tournante 250m	15449	2	85	GDE	Galeoides decadactylus	ME	p1-bt	Marine-estuarienne	Prédateur de premier niveau à prédominance benthophage (mollusques,vers)	Polynemidae	Perciformes
2	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNB	Bandiala bordure	S01	2002-10-21	1	28	t	1	t- senne tournante 250m	15448	1	409	PBR	Pseudotolithus brachygnathus	ME	p2-ge	Marine-estuarienne	Prédateur de deuxième niveau généraliste (poisson et autres proies)	Sciaenidae	Perciformes
2	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNB	Bandiala bordure	S01	2002-10-21	1	28	t	1	t- senne tournante 250m	15447	1	450	PJU	Pomadasys jubelini	Em	p1-bt	Estuarienne d'origine marine	Prédateur de premier niveau à prédominance benthophage (mollusques,vers)	Haemulidae	Perciformes
2	SG	Senegal	8	Sine Saloum	32	2002-10-15	2002-10-21	1	Bandiala Aval	S1BNB	Bandiala bordure	S01	2002-10-21	1	28	t	1	t- senne tournante 250m	15445	188	1928	SEB	Sardinella maderensis	ME	om-ge	Marine-estuarienne	Omnivore généraliste	Clupeidae	Clupéiformes
