numero	 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo_lib	 dbq_pt	 dbq_an	 dbq_mois	 grd_type_engin	 fraction	 fdbq_pt	 fdbq_nt	 codesp	 cat_ecol	 cat_troph	 id_mes	 long_lf
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7315	180
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7304	215
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7301	205
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7302	205
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7303	195
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7306	185
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7305	185
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7307	184
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7311	174
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7308	185
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7310	160
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7309	190
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7313	175
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	24	2002	5	FMDO	ML2_67205	2.5	29	HFO	Co	p2-pi	7314	205
