 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo	 agglo_lib	 annee	 mois	 pue	 fm	 cap	 pue_sp	cap_sp	 nbre_enquete_sp	 esp	 esp_lib	 eco_lib	 li	 xi	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.471	70.6	6	BDO	Bagrus docmak	Continentale	31	33.4	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.471	70.6	6	BDO	Bagrus docmak	Continentale	37	11.1	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.471	70.6	6	BDO	Bagrus docmak	Continentale	38	33.4	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	1.379	206.6	10	CFI	Chrysichthys auratus	Estuarienne d'origine continentale	12	868.9	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	1.379	206.6	10	CFI	Chrysichthys auratus	Estuarienne d'origine continentale	13	989.5	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	1.379	206.6	10	CFI	Chrysichthys auratus	Estuarienne d'origine continentale	14	1553	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	1.379	206.6	10	CFI	Chrysichthys auratus	Estuarienne d'origine continentale	15	946.1	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	1.379	206.6	10	CFI	Chrysichthys auratus	Estuarienne d'origine continentale	16	1006.4	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	1.379	206.6	10	CFI	Chrysichthys auratus	Estuarienne d'origine continentale	17	834.9	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	1.379	206.6	10	CFI	Chrysichthys auratus	Estuarienne d'origine continentale	18	111.2	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	1.379	206.6	10	CFI	Chrysichthys auratus	Estuarienne d'origine continentale	19	182.8	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.239	35.8	1	CLS	Clarias anguillaris	Continentale occasionnelle	29	14.5	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.239	35.8	1	CLS	Clarias anguillaris	Continentale occasionnelle	36	14.5	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.239	35.8	1	CLS	Clarias anguillaris	Continentale occasionnelle	42	14.5	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.239	35.8	1	CLS	Clarias anguillaris	Continentale occasionnelle	63	3.6	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.057	8.5	2	DBR	Distichodus brevipinnis	Continentale	16	16.1	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.057	8.5	2	DBR	Distichodus brevipinnis	Continentale	25	21.4	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.056	8.4	1	GSE	Marcusenius senegalensis	Continentale	33	25.6	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.131	19.6	2	HBO	Hyperopisus bebe	Continentale occasionnelle	17	4.1	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.131	19.6	2	HBO	Hyperopisus bebe	Continentale occasionnelle	27	32.7	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.131	19.6	2	HBO	Hyperopisus bebe	Continentale occasionnelle	28	16.3	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.131	19.6	2	HBO	Hyperopisus bebe	Continentale occasionnelle	29	32.7	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.131	19.6	2	HBO	Hyperopisus bebe	Continentale occasionnelle	30	16.3	
