numero	 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo_lib	 iddeb	 up	 dbq_an	 dbq_mois	 dbq_date	 type_engin	 engin
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4825	31	2002	5	2002-05-21	FMDO35	18849
4825	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4825	31	2002	5	2002-05-21	FMDO30	18848
4826	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4826	1029	2002	5	2002-05-21	FMMO50	18850
4827	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4827	33	2002	5	2002-05-21	FMDO45	18851
4827	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4827	33	2002	5	2002-05-21	FMMO35	18852
4828	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4828	1605	2002	5	2002-05-23	FMMO30	18855
4828	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4828	1605	2002	5	2002-05-23	FMMO55	18854
4828	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4828	1605	2002	5	2002-05-23	FMDO30	18853
4829	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4829	1029	2002	5	2002-05-23	FMMO55	18856
4829	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4829	1029	2002	5	2002-05-23	PLA9	18858
4829	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4829	1029	2002	5	2002-05-23	FMDO55	18857
4830	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4830	31	2002	5	2002-05-23	FMDO30	18859
4830	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4830	31	2002	5	2002-05-23	FMDO35	18860
4831	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4831	1029	2002	5	2002-05-24	PLA9	18862
4831	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4831	1029	2002	5	2002-05-24	FMDO55	18861
4832	ML	Mali	5	Lac de Manantali	3	Amont	Bokadary daga	4832	1605	2002	5	2002-05-24	FMMO55	18865
