identifiant	pays	pays_lib	syst	syst_lib	syst_surf	camp	camp_deb	camp_fin	sect	sect_lib	sect_surf	station	station_lib	station_site	station_lat	station_lon	station_memo	position	vegetation	debris	sediment	station_dist_emb	vegetation_lib	debris_lib	sediment_lib	position_lib	coup_date	coup_lon	coup_lat	coup_memo	coup_prof	qualite	coup_filet	coup	engin	coup_protocole	coup_hdeb	coup_hfin	transp	sals	salf	tmps	tmpf	oxys	oxyf	chls	chlf	mots	mops	motf	mopf	conds	condf	envir_memo	scour	scour_lib	fcour	fcour_lib	engin_lib	engin_long	engin_chute	engin_maille	memo_engin	id_fraction	nt	pt	fraction_memo	nt_est	codesp	espece	cat_ecol	cat_troph	coefK	coefb	cat_ecol_lib	cat_troph_lib	famille	non_poisson	ordre
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10165	1	200		0	AGA	Arius latiscutatus	ME	p2-ge	1,32	2,994	Marine-estuarienne	Prédateur de deuxième niveau généraliste (poisson et autres proies)	Ariidae	0	Siluriformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10166	3	800		0	AHE	Arius heudelotii	ME	p2-ge	0,6751	3,1124	Marine-estuarienne	Prédateur de deuxième niveau généraliste (poisson et autres proies)	Ariidae	0	Siluriformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10163	9	200		0	BAU	Brachydeuterus auritus	ME	om-ge	0,9	3,116	Marine-estuarienne	Omnivore généraliste	Haemulidae	0	Perciformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10157	44	775		0	CHL	Chloroscombrus chrysurus	ME	p2-ge	1,17	3,053	Marine-estuarienne	Prédateur de deuxième niveau généraliste (poisson et autres proies)	Carangidae	0	Perciformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10167	1	425		0	CYS	Cynoglossus senegalensis	Em	p1-bt	0,32	2,986	Estuarienne d'origine marine	Prédateur de premier niveau à prédominance benthophage (mollusques,vers)	Cynoglossidae	0	Pleuronectiformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10153	2	300		0	EFI	Ethmalosa fimbriata	Em	he-ph	0,75	3,172	Estuarienne d'origine marine	Herbivore à prédominance phytoplanctonophage ou microphytophage	Clupeidae	0	Clupéiformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10158	5	450		0	GDE	Galeoides decadactylus	ME	p1-bt	0,9	3,146	Marine-estuarienne	Prédateur de premier niveau à prédominance benthophage (mollusques,vers)	Polynemidae	0	Perciformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10154	146	3200		0	IAF	Ilisha africana	Em	p1-zo	2,73	2,791	Estuarienne d'origine marine	Zooplanctonophagie dominante	Clupeidae	0	Clupéiformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10156	2	200		0	PBR	Pseudotolithus brachygnathus	ME	p2-ge	0,36	3,135	Marine-estuarienne	Prédateur de deuxième niveau généraliste (poisson et autres proies)	Sciaenidae	0	Perciformes
54	SG	Senegal	8	Sine Saloum	900	5	1991-04-24	1991-04-27	1	Bandiala Aval	0	S1BNM	Bandiala	S01	+ 13:39:08	- 016:34:29	Embouchure Bandiala - Relevé GPS JJA Dec 2001- sable coquillier - oursins	1	d	c	sa	3	d- mangrove développée	c- débris coquilliers	sa- sable	1- milieu (chenal)	1991-04-24				12	3		1	t	1			2	38	38	24,6	24,8	93	87	1,2	1,5								2	2- marée descendante			t- senne tournante 250m	250	18	14	Senne tournante Saloum > référence pour tous systèmes	10169	6	75		0	PDU	Penaeus notialis							Penaeidae	1	Décapodes
