identifiant	pays	pays_lib	syst	syst_lib	camp	camp_deb	camp_fin	sect	sect_lib	station	station_lib	station_site	coup_date	qualite	coup	engin	coup_protocole	engin_lib	id_fraction	nt	pt	codesp	espece	cat_ecol	cat_troph	id_biologie	long_lf	rempl_stom	cont_stom
1	SG	Senegal	8	Sine Saloum	8	1991-12-03	1991-12-06	7	Saloum zone 7	S7FAM	Fadoum	S11	1991-12-05	1	9	t	1	t- senne tournante 250m	10672	4	410	CTR	Scomberomorus tritor	Ma	p2-pi	91222	225	x	1
1	SG	Senegal	8	Sine Saloum	8	1991-12-03	1991-12-06	7	Saloum zone 7	S7FAM	Fadoum	S11	1991-12-05	1	9	t	1	t- senne tournante 250m	10672	4	410	CTR	Scomberomorus tritor	Ma	p2-pi	91221	225	x	1
2	SG	Senegal	8	Sine Saloum	8	1991-12-03	1991-12-06	7	Saloum zone 7	S7FAB	Fadoum bordure	S11	1991-12-05	1	10	t	1	t- senne tournante 250m	10680	1	700	SPI	Sphyraena afra	ME	p2-pi	91282	470	x	1
3	SG	Senegal	8	Sine Saloum	8	1991-12-03	1991-12-06	6	Saloum zone 6	S6NSB	Ndimsiro bordure	S15	1991-12-06	1	12	t	1	t- senne tournante 250m	10689	2	300	CTR	Scomberomorus tritor	Ma	p2-pi	91387	290	x	1
4	SG	Senegal	8	Sine Saloum	8	1991-12-03	1991-12-06	6	Saloum zone 6	S6NSM	Ndimsiro	S15	1991-12-06	1	11	t	1	t- senne tournante 250m	10682	55	1500	BAU	Brachydeuterus auritus	ME	om-ge	91298	127	x	3
5	SG	Senegal	8	Sine Saloum	8	1991-12-03	1991-12-06	4	Diomboss	S4BAM	Babandiane	S09	1991-12-04	1	7	t	1	t- senne tournante 250m	10659	7	1500	CTR	Scomberomorus tritor	Ma	p2-pi	91082	277	x	1
5	SG	Senegal	8	Sine Saloum	8	1991-12-03	1991-12-06	4	Diomboss	S4BAM	Babandiane	S09	1991-12-04	1	7	t	1	t- senne tournante 250m	10659	7	1500	CTR	Scomberomorus tritor	Ma	p2-pi	91084	277	x	1
5	SG	Senegal	8	Sine Saloum	8	1991-12-03	1991-12-06	4	Diomboss	S4BAM	Babandiane	S09	1991-12-04	1	7	t	1	t- senne tournante 250m	10659	7	1500	CTR	Scomberomorus tritor	Ma	p2-pi	91083	278	x	1
6	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	2	Bandiala Centre	S2TBB	Toubakouta bordure	S04	1992-03-01	1	16	t	1	t- senne tournante 250m	10840	1	365	DMA	Dasyatis margarita	Em	p1-bt	92651	209	x	8
7	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	6	Saloum zone 6	S6NSB	Ndimsiro bordure	S15	1992-02-28	1	8	t	1	t- senne tournante 250m	10783	1	435	CTR	Scomberomorus tritor	Ma	p2-pi	92163	360	x	1
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10824	1	2700	EGU	Ephippion guttifer	ME	p1-bt	92554	460	x	8
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10824	1	2700	EGU	Ephippion guttifer	ME	p1-bt	92554	460	x	9
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10817	117	4300	GME	Eucinostomus melanopterus	ME	om-ge	92492	113	x	6
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10817	117	4300	GME	Eucinostomus melanopterus	ME	om-ge	92499	88	x	6
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10817	117	4300	GME	Eucinostomus melanopterus	ME	om-ge	92487	130	x	6
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10817	117	4300	GME	Eucinostomus melanopterus	ME	om-ge	92482	128	x	6
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10817	117	4300	GME	Eucinostomus melanopterus	ME	om-ge	92496	144	x	6
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10817	117	4300	GME	Eucinostomus melanopterus	ME	om-ge	92486	86	x	6
8	SG	Senegal	8	Sine Saloum	9	1992-02-27	1992-03-01	5	Saloum aval	S5DJB	Djifere bordure	S19	1992-02-29	1	12	t	1	t- senne tournante 250m	10817	117	4300	GME	Eucinostomus melanopterus	ME	om-ge	92503	88	x	6
