 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo	 agglo_lib	 annee	 mois	 pue	 fm	 cap	 obs_sp_min	 obs_sp_max	 pue_sp_ecart_type	 pue_sp	cap_sp	 nbre_enquete_sp	 esp_lib	 eco_lib	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.22	0.64	0.156	0.057	8.5	2	Distichodus brevipinnis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.1	1.86	0.446	0.131	19.6	2	Hyperopisus bebe	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.17	1.14	0.305	0.138	20.7	3	Mormyrops deliciosus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	3.58	3.58	0.863	0.239	35.8	1	Clarias anguillaris	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.55	2.68	0.642	0.269	40.3	3	Labeo senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.07	3.59	0.878	0.471	70.6	6	Bagrus docmak	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.75	3.38	0.807	0.489	73.3	5	Synodontis nigrita	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.21	4.62	1.071	0.787	117.9	10	Synodontis spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.75	6.17	1.587	0.817	122.4	4	Synodontis schall	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.03	6.93	1.741	1.379	206.6	10	Chrysichthys auratus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.15	6.93	1.997	2.132	319.4	12	Hydrocynus forskahlii	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.06	11.56	3.05	3.053	457.4	14	Tilapia zillii	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.07	27.94	6.742	4.621	692.4	12	Sarotherodon galilaeus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.06	0.08	0.019	0.006	0.8	2	Marcusenius senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.05	0.12	0.027	0.01	1.3	3	Hemichromis bimaculatus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.07	0.15	0.042	0.022	2.8	5	Hydrocynus brevis	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.13	0.42	0.089	0.031	3.9	3	Tetraodon lineatus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.56	0.63	0.158	0.05	6.3	2	Malapterurus electricus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.24	2.48	0.493	0.181	22.9	5	Labeo senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.24	1.41	0.423	0.234	29.6	6	Mormyrops deliciosus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.9	2.62	0.697	0.306	38.8	4	Clarias anguillaris	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.12	2.33	0.556	0.525	66.5	20	Hemichromis fasciatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.05	6.59	1.328	0.555	70.3	8	Brycinus nurse	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.07	2.83	0.861	1.059	134.1	20	Synodontis nigrita	Continentale	
