CodeClair;ZoneNew;Systeme;Zone
G1BIA;23;10;1
G1BIN;23;10;1
G1BIP;23;10;1
G1BIV;23;10;1
G1BJ1;23;10;1
G1BJ2;23;10;1
G1CHI;23;10;1
G1DOG;23;10;1
G1LMP;23;10;1
G1LMV;23;10;1
G1MAR;23;10;1
G1MDN;23;10;1
G1SAS;23;10;1
G1SIK;23;10;1
G1TAB;23;10;1
G2BBK;24;10;2
G2JAL;24;10;2
G2JRE;24;10;2
G2JRP;24;10;2
G2JUR;24;10;2
G2KAT;24;10;2
G2KRU;24;10;2
G2KTC;24;10;2
G2KUN;24;10;2
G2MAN;24;10;2
G2MUT;24;10;2
G2SEL;24;10;2
G2SLC;24;10;2
G2SLP;24;10;2
G2SU1;24;10;2
G2SU2;24;10;2
G2SUP;24;10;2
G2TDB;24;10;2
G2TEN;24;10;2
G2TKL;24;10;2
G2TSI;24;10;2
G3BAN;25;10;3
G3BBL;25;10;3
G3BBT;25;10;3
G3BGA;25;10;3
G3BGO;25;10;3
G3BKD;25;10;3
G3BTD;25;10;3
G3CAR;25;10;3
G3DEE;25;10;3
G3DEV;25;10;3
G3ELJ;25;10;3
G3ELP;25;10;3
G3ELV;25;10;3
G3PAP;25;10;3
G3SAM;25;10;3
G3SHM;25;10;3
G3SHV;25;10;3
G3SNK;25;10;3
G3SOF;25;10;3
G3TBK;25;10;3
G3TUD;25;10;3
G3WAC;25;10;3
G3WAL;25;10;3
BIJ01;52;15;1
BIJ02;52;15;1
BIJ03;52;15;1
BIJ04;52;15;1
BIJ05;52;15;1
BIJ06;52;15;1
BIJ07;52;15;1
BIJ08;52;15;1
BIJ09;52;15;1
BIJ10;52;15;1
BIJ11;52;15;1
BIJ12;52;15;1
BIJ13;52;15;1
BIJ14;52;15;1
BIJ15;52;15;1
BIJ16;52;15;1
BIJ17;52;15;1
BIJ18;52;15;1
BIJ19;52;15;1
BIJ20;52;15;1
BIJ21;52;15;1
BIJ22;52;15;1
BIJ23;52;15;1
BIJ24;52;15;1
BIJ25;52;15;1
BIJ26;52;15;1
BIJ27;52;15;1
BIJ28;52;15;1
BIJ29;52;15;1
BIJ30;52;15;1
BIJ31;52;15;1
BIJ32;52;15;1
BIJ33;52;15;1
BIJ34;52;15;1
BIJ35;52;15;1
BIJ36;52;15;1
DAN35;42;13;1
DAN36;42;13;1
DAN37;42;13;1
DAN40;42;13;1
DAN41;42;13;1
DAN43;42;13;1
DAN44;42;13;1
DAN45;42;13;1
DAN46;42;13;1
EB101;2;3;1
EB102;2;3;1
EB103;2;3;1
EB104;2;3;1
EB111;2;3;1
EB112;2;3;1
EB113;2;3;1
EB114;2;3;1
EB115;2;3;1
EB116;2;3;1
EB117;2;3;1
EB118;2;3;1
EB201;3;3;2
EB202;3;3;2
EB203;3;3;2
EB204;3;3;2
EB205;3;3;2
EB206;3;3;2
EB207;3;3;2
EB208;3;3;2
EB210;3;3;2
EB211;3;3;2
EB212;3;3;2
EB213;3;3;2
EB214;3;3;2
EB215;3;3;2
EB216;3;3;2
EB217;3;3;2
EB251;3;3;2
EB252;3;3;2
EB301;4;3;3
EB302;4;3;3
EB303;4;3;3
EB304;4;3;3
EB305;4;3;3
EB311;4;3;3
EB312;4;3;3
EB313;4;3;3
EB314;4;3;3
EB315;4;3;3
EB351;4;3;3
EB352;4;3;3
EB354;4;3;3
EB355;4;3;3
EB356;4;3;3
EB371;4;3;3
EB372;4;3;3
EB373;4;3;3
EB374;4;3;3
EB375;4;3;3
EB391;4;3;3
EB392;4;3;3
EB393;4;3;3
EB394;4;3;3
EB395;4;3;3
EB396;4;3;3
EB397;4;3;3
EB401;5;3;4
EB402;5;3;4
EB403;5;3;4
EB404;5;3;4
EB405;5;3;4
EB406;5;3;4
EB407;5;3;4
EB408;5;3;4
EB409;5;3;4
EB410;5;3;4
EB411;5;3;4
EB412;5;3;4
EB501;6;3;5
EB502;6;3;5
EB503;6;3;5
EB504;6;3;5
EB505;6;3;5
EB601;7;3;6
EB602;7;3;6
EB603;7;3;6
EB604;7;3;6
EB605;7;3;6
EB606;7;3;6
F1028;43;14;1
F1CN1;43;14;1
F1CN2;43;14;1
F1CN3;43;14;1
F1CN4;43;14;1
F1CNB;43;14;1
F1CNM;43;14;1
F1EMB;43;14;1
F1MER;43;14;1
F2020;44;14;2
F2024;44;14;2
F2BF1;44;14;2
F2BF2;44;14;2
F2BF3;44;14;2
F2BF4;44;14;2
F2BFB;44;14;2
F2BFM;44;14;2
F2IFB;44;14;2
F2IFM;44;14;2
F3011;45;14;3
F3012;45;14;3
F3016;45;14;3
F3KT1;45;14;3
